siteId,percentwet,geometry
PRA02,0.6938405797101449,"c(574893.094096495, 3868955.9989833)"
PRB02,0.7709335899903753,"c(575084.093435352, 3869629.99823547)"
PRB03,0.3960216998191682,"c(574902.093852966, 3869622.99836205)"
PRM02,0.6917127071823205,"c(576071.093504961, 3869803.99848119)"
PRM03,0.1959890610756609,"c(575965.09339287, 3869776.99902153)"
PRM04,0.26364477335800185,"c(575800.093607886, 3869759.99906186)"
PRM05,0.43192064923354373,"c(575699.093777004, 3869741.99891155)"
PRM07,0.32155797101449274,"c(575476.094181964, 3869712.99843969)"
PRM08,0.41145281018027574,"c(575401.094040467, 3869673.99903673)"
PRM10,0.49375,"c(575278.093556597, 3869535.99892355)"
PRM12,0.5133689839572193,"c(575171.093361261, 3869401.99857707)"
PRM13,0.29689174705251875,"c(575029.09404353, 3869242.99841976)"
PRM14,0.4063348416289593,"c(574986.093398719, 3869210.99885591)"
PRM16,0.8798554652213189,"c(574898.09415655, 3869123.99851193)"
PRM17,0.3101851851851852,"c(574859.093479945, 3869094.99805017)"
PRM18,0.40180995475113124,"c(574757.094257075, 3869082.99821686)"
PRM20,0.9090909090909091,"c(574510.094152895, 3869032.99813289)"
PRM21,0.9948293691830403,"c(574422.094199921, 3869044.99901413)"
PRM22,0.9522900763358778,"c(574341.093904086, 3869069.99833999)"
PRM23,0.4421052631578947,"c(574263.093768634, 3869110.9988945)"
