siteId,percentwet,geometry
WHA01,0.8007380073800738,"c(405510.889955915, 3650111.24895069)"
WHA03,0.5710332103321033,"c(405539.461341845, 3650167.2057606)"
WHA04,0.5952161913523459,"c(405549.622527468, 3650252.21301707)"
WHA05,0.7158671586715867,"c(405587.83572224, 3650339.201664)"
WHA06,0.3800738007380074,"c(405691.832981876, 3650465.24985543)"
WHB02,0.8313364055299539,"c(405585.406391465, 3650086.22550879)"
WHB03,0.6648250460405156,"c(405668.903968216, 3650023.27744852)"
WHB04,0.8031278748850046,"c(405790.211604242, 3650005.21781755)"
WHB05,0.8800738007380073,"c(405911.932058548, 3650030.25807186)"
WHB06,0.48110599078341015,"c(406024.192286282, 3650043.27470343)"
WHB07,0.46955719557195574,"c(406154.959831645, 3650037.26797562)"
WHM02,0.8929889298892989,"c(405463.782676833, 3650071.27928969)"
WHM04,0.84976958525345625,"c(405585.91519918, 3650139.21102336)"
WHM05,0.8809963099630996,"c(405670.323413439, 3650171.22599669)"
WHM06,0.7273684210526316,"c(405792.319783653, 3650225.235362)"
WHM08,1,"c(405923.218839916, 3650233.22686928)"
WHM09,0.9575645756457565,"c(406035.772999577, 3650277.24084844)"
WHM11,0.4958371877890842,"c(406195.28602743, 3650346.20760941)"
WHM13,0.7785977859778598,"c(406296.978374139, 3650231.27744142)"
WHM14,0.6914778856526429,"c(406333.831732322, 3650176.23070364)"
