"gage","Date","Flow"
"KMZ",2021-06-08,NA
"KMZ",2021-06-09,18.1814981080464
"KMZ",2021-06-10,18.0619367855649
"KMZ",2021-06-11,17.877850304919
"KMZ",2021-06-12,17.3825248260674
"KMZ",2021-06-13,16.8682213595204
"KMZ",2021-06-14,16.5873471416275
"KMZ",2021-06-15,16.1622402172492
"KMZ",2021-06-16,15.7542134817967
"KMZ",2021-06-17,15.3898361180438
"KMZ",2021-06-18,15.0482323395255
"KMZ",2021-06-19,14.7180153536245
"KMZ",2021-06-20,14.5699870495999
"KMZ",2021-06-21,14.3498423923325
"KMZ",2021-06-22,14.3859005689539
"KMZ",2021-06-23,14.2188942772338
"KMZ",2021-06-24,14.0689681744396
"KMZ",2021-06-25,14.125902137526
"KMZ",2021-06-26,14.1771427043038
"KMZ",2021-06-27,14.0158298088924
"KMZ",2021-06-28,13.9361222605714
"KMZ",2021-06-29,13.9645892421146
"KMZ",2021-06-30,13.9626914433451
"KMZ",2021-07-01,14.0291144002792
"KMZ",2021-07-02,13.9399178581105
"KMZ",2021-07-03,13.7937873528554
"KMZ",2021-07-04,13.5641537017403
"KMZ",2021-07-05,13.1105797958188
"KMZ",2021-07-06,12.72912224314
"KMZ",2021-07-07,12.2470813556753
"KMZ",2021-07-08,11.4310278847704
"KMZ",2021-07-09,9.58257188323232
"KMZ",2021-07-10,9.29600426903084
"KMZ",2021-07-11,6.71879353998704
"KMZ",2021-07-12,3.21545701140467
"KMZ",2021-07-13,0
"KMZ",2021-07-14,0
"KMZ",2021-07-15,15.0140719616737
"KMZ",2021-07-16,13.6021096771313
"KMZ",2021-07-17,13.3838628186335
"KMZ",2021-07-18,13.3838628186335
"KMZ",2021-07-19,13.344009044473
"KMZ",2021-07-20,13.1751049539834
"KMZ",2021-07-21,13.1219665884361
"KMZ",2021-07-22,13.1314555822838
"KMZ",2021-07-23,13.1921851429093
"KMZ",2021-07-24,13.1428423749011
"KMZ",2021-07-25,13.1105797958188
"KMZ",2021-07-26,12.954960296716
"KMZ",2021-07-27,12.2850373310662
"KMZ",2021-07-28,10.9281112108406
"KMZ",2021-07-29,6.94083599602395
"KMZ",2021-07-30,0
"KMZ",2021-07-31,0
"KMZ",2021-08-01,0
"KMZ",2021-08-02,0
"KMZ",2021-08-03,0
"KMZ",2021-08-04,0
"KMZ",2021-08-05,0
"KMZ",2021-08-06,0
"KMZ",2021-08-07,0
"KMZ",2021-08-08,0
"KMZ",2021-08-09,0
"KMZ",2021-08-10,0
"KMZ",2021-08-11,0
"KMZ",2021-08-12,0
"KMZ",2021-08-13,0
"KMZ",2021-08-14,0
"KMZ",2021-08-15,0
"KMZ",2021-08-16,0
"KMZ",2021-08-17,0
"KMZ",2021-08-18,0
"KMZ",2021-08-19,0
"KMZ",2021-08-20,0
"KMZ",2021-08-21,0
"KMZ",2021-08-22,0
"KMZ",2021-08-23,0
"KMZ",2021-08-24,0
"KMZ",2021-08-25,0
"KMZ",2021-08-26,0
"KMZ",2021-08-27,0
"KMZ",2021-08-28,0
"KMZ",2021-08-29,0
"KMZ",2021-08-30,0
"KMZ",2021-08-31,0
"KMZ",2021-09-01,0
"KMZ",2021-09-02,0
"KMZ",2021-09-03,0
"KMZ",2021-09-04,17.4831081608533
"KMZ",2021-09-05,12.6778816763622
"KMZ",2021-09-06,11.9244555648524
"KMZ",2021-09-07,10.0209633989975
"KMZ",2021-09-08,6.92185800832849
"KMZ",2021-09-09,5.29164886528827
"KMZ",2021-09-10,4.92157810522675
"KMZ",2021-09-11,4.88741772737492
"KMZ",2021-09-12,4.04289727492684
"KMZ",2021-09-13,2.74100731901811
"KMZ",2021-09-14,0.888755719940976
"KMZ",2021-09-15,0
"KMZ",2021-09-16,0
"KMZ",2021-09-17,0
"KMZ",2021-09-18,0
"KMZ",2021-09-19,0
"KMZ",2021-09-20,0
"KMZ",2021-09-21,0
"KMZ",2021-09-22,0
"KMZ",2021-09-23,0
"KMZ",2021-09-24,0
"KMZ",2021-09-25,0
"KMZ",2021-09-26,0
"KMZ",2021-09-27,0
"KMZ",2021-09-28,0
"KMZ",2021-09-29,0
"KMZ",2021-09-30,0
"KMZ",2021-10-01,0
"KMZ",2021-10-02,0
"KMZ",2021-10-03,0
"KMZ",2021-10-04,0
"KMZ",2021-10-05,0
"KMZ",2021-10-06,0
"KMZ",2021-10-07,0
"KMZ",2021-10-08,0
"KMZ",2021-10-09,0
"KMZ",2021-10-10,0
"KMZ",2021-10-11,0
"KMZ",2021-10-12,0
"KMZ",2021-10-13,0
"KMZ",2021-10-14,0
"KMZ",2021-10-15,0
"KMZ",2021-10-16,0
"KMZ",2021-10-17,0
"KMZ",2021-10-18,0
"KMZ",2021-10-19,0
"KMZ",2021-10-20,0
"KMZ",2021-10-21,0
"KMZ",2021-10-22,0
"KMZ",2021-10-23,0
"KMZ",2021-10-24,0
"KMZ",2021-10-25,NA
"KMZ",2021-10-26,0
"KMZ",2021-10-27,0
"KMZ",2021-10-28,NA
"KMZ",2021-10-29,0
"KMZ",2021-10-30,0
"KMZ",2021-10-31,0
"KMZ",2021-11-01,NA
"KMZ",2021-11-02,NA
"KMZ",2021-11-03,NA
"KMZ",2021-11-04,NA
"KMZ",2021-11-05,0
"KMZ",2021-11-06,0
"KMZ",2021-11-07,0
"KMZ",2021-11-08,0
"KMZ",2021-11-09,0
"KMZ",2021-11-10,4.51734696731339
"KMZ",2021-11-11,10.6320546027914
"KMZ",2021-11-12,7.80623223493704
"KMZ",2021-11-13,6.24813944513957
"KMZ",2021-11-14,7.05470392219673
"KMZ",2021-11-15,6.77572750307343
"KMZ",2021-11-16,6.79280769199934
"KMZ",2021-11-17,5.56872748564202
"KMZ",2021-11-18,4.55530294270432
"KMZ",2021-11-19,5.55354509548565
"KMZ",2021-11-20,6.89149322801575
"KMZ",2021-11-21,7.41338788964097
"KMZ",2021-11-22,7.43805927364507
"KMZ",2021-11-23,8.21615676915903
"KMZ",2021-11-24,8.54827155382962
"KMZ",2021-11-25,7.28813317085091
"KMZ",2021-11-26,7.66389732722107
"KMZ",2021-11-27,8.26739733593678
"KMZ",2021-11-28,7.53484701089193
"KMZ",2021-11-29,7.58039418136103
"KMZ",2021-11-30,6.69791775352203
"KMZ",2021-12-01,6.12098692757997
"KMZ",2021-12-02,5.47193974839516
"KMZ",2021-12-03,4.25734853588556
"KMZ",2021-12-04,2.0141503902819
"KMZ",2021-12-05,1.31386264431934
"KMZ",2021-12-06,0
"KMZ",2021-12-07,0
"KMZ",2021-12-08,0
"KMZ",2021-12-09,0
"KMZ",2021-12-10,0
"KMZ",2021-12-11,0
"KMZ",2021-12-12,NA
"KMZ",2021-12-13,NA
"KMZ",2021-12-14,0
"KMZ",2021-12-15,0
"KMZ",2021-12-16,NA
"KMZ",2021-12-17,NA
"KMZ",2021-12-18,NA
"KMZ",2021-12-19,NA
"KMZ",2021-12-20,NA
"KMZ",2021-12-21,NA
"KMZ",2021-12-22,NA
"KMZ",2021-12-23,0
"KMZ",2021-12-24,0
"KMZ",2021-12-25,0
"KMZ",2021-12-26,0
"KMZ",2021-12-27,NA
"KMZ",2021-12-28,0
"KMZ",2021-12-29,NA
"KMZ",2021-12-30,NA
"KMZ",2021-12-31,0
"KMZ",2022-01-01,NA
"KMZ",2022-01-02,NA
"KMZ",2022-01-03,NA
"KMZ",2022-01-04,NA
"KMZ",2022-01-05,NA
"KMZ",2022-01-06,NA
"KMZ",2022-01-07,NA
"KMZ",2022-01-08,NA
"KMZ",2022-01-09,NA
"KMZ",2022-01-10,NA
"KMZ",2022-01-11,0
"KMZ",2022-01-12,NA
"KMZ",2022-01-13,0
"KMZ",2022-01-14,NA
"KMZ",2022-01-15,NA
"KMZ",2022-01-16,NA
"KMZ",2022-01-17,NA
"KMZ",2022-01-18,0
"KMZ",2022-01-19,NA
"KMZ",2022-01-20,NA
"KMZ",2022-01-21,NA
"KMZ",2022-01-22,0
"KMZ",2022-01-23,NA
"KMZ",2022-01-24,0
"KMZ",2022-01-25,NA
"KMZ",2022-01-26,NA
"KMZ",2022-01-27,NA
"KMZ",2022-01-28,NA
"KMZ",2022-01-29,0
"KMZ",2022-01-30,NA
"KMZ",2022-01-31,0
"KMZ",2022-02-01,NA
"KMZ",2022-02-02,NA
"KMZ",2022-02-03,NA
"KMZ",2022-02-04,NA
"KMZ",2022-02-05,NA
"KMZ",2022-02-06,NA
"KMZ",2022-02-07,0
"KMZ",2022-02-08,0
"KMZ",2022-02-09,0
"KMZ",2022-02-10,0
"KMZ",2022-02-11,0
"KMZ",2022-02-12,NA
"KMZ",2022-02-13,NA
"KMZ",2022-02-14,0
"KMZ",2022-02-15,0
"KMZ",2022-02-16,0
"KMZ",2022-02-17,NA
"KMZ",2022-02-18,0
"KMZ",2022-02-19,NA
"KMZ",2022-02-20,0
"KMZ",2022-02-21,0
"KMZ",2022-02-22,NA
"KMZ",2022-02-23,NA
"KMZ",2022-02-24,NA
"KMZ",2022-02-25,NA
"KMZ",2022-02-26,NA
"KMZ",2022-02-27,0
"KMZ",2022-02-28,0
"KMZ",2022-03-01,0
"KMZ",2022-03-02,0
"KMZ",2022-03-03,0
"KMZ",2022-03-04,0
"KMZ",2022-03-05,0
"KMZ",2022-03-06,NA
"KMZ",2022-03-07,NA
"KMZ",2022-03-08,NA
"KMZ",2022-03-09,NA
"KMZ",2022-03-10,NA
"KMZ",2022-03-11,NA
"KMZ",2022-03-12,NA
"KMZ",2022-03-13,0
"KMZ",2022-03-14,0
"KMZ",2022-03-15,0
"KMZ",2022-03-16,0
"KMZ",2022-03-17,0
"KMZ",2022-03-18,NA
"KMZ",2022-03-19,0
"KMZ",2022-03-20,0
"KMZ",2022-03-21,0
"KMZ",2022-03-22,9.53378729133281
