"gage","Date","Flow"
"YMR",2021-05-12,NA
"YMR",2021-05-13,NA
"YMR",2021-05-14,NA
"YMR",2021-05-15,NA
"YMR",2021-05-16,NA
"YMR",2021-05-17,NA
"YMR",2021-05-18,NA
"YMR",2021-05-19,NA
"YMR",2021-05-20,NA
"YMR",2021-05-21,NA
"YMR",2021-05-22,NA
"YMR",2021-05-23,NA
"YMR",2021-05-24,NA
"YMR",2021-05-25,NA
"YMR",2021-05-26,NA
"YMR",2021-05-27,NA
"YMR",2021-05-28,NA
"YMR",2021-05-29,NA
"YMR",2021-05-30,NA
"YMR",2021-05-31,NA
"YMR",2021-06-01,NA
"YMR",2021-06-02,NA
"YMR",2021-06-03,NA
"YMR",2021-06-04,NA
"YMR",2021-06-05,NA
"YMR",2021-06-06,NA
"YMR",2021-06-07,NA
"YMR",2021-06-08,NA
"YMR",2021-06-09,NA
"YMR",2021-06-10,NA
"YMR",2021-06-11,NA
"YMR",2021-06-12,NA
"YMR",2021-06-13,NA
"YMR",2021-06-14,NA
"YMR",2021-06-15,NA
"YMR",2021-06-16,NA
"YMR",2021-06-17,NA
"YMR",2021-06-18,NA
"YMR",2021-06-19,NA
"YMR",2021-06-20,NA
"YMR",2021-06-21,NA
"YMR",2021-06-22,NA
"YMR",2021-06-23,NA
"YMR",2021-06-24,NA
"YMR",2021-06-25,NA
"YMR",2021-06-26,NA
"YMR",2021-06-27,NA
"YMR",2021-06-28,NA
"YMR",2021-06-29,NA
"YMR",2021-06-30,NA
"YMR",2021-07-01,NA
"YMR",2021-07-02,NA
"YMR",2021-07-03,NA
"YMR",2021-07-04,NA
"YMR",2021-07-05,NA
"YMR",2021-07-06,NA
"YMR",2021-07-07,NA
"YMR",2021-07-08,NA
"YMR",2021-07-09,NA
"YMR",2021-07-10,NA
"YMR",2021-07-11,NA
"YMR",2021-07-12,NA
"YMR",2021-07-13,NA
"YMR",2021-07-14,NA
"YMR",2021-07-15,NA
"YMR",2021-07-16,NA
"YMR",2021-07-17,13.1489396578544
"YMR",2021-07-18,12.4418491172854
"YMR",2021-07-19,11.4719372291366
"YMR",2021-07-20,10.7587295796404
"YMR",2021-07-21,10.1052304178188
"YMR",2021-07-22,9.49089634122446
"YMR",2021-07-23,9.04172542348284
"YMR",2021-07-24,8.68540352402177
"YMR",2021-07-25,8.67380013683129
"YMR",2021-07-26,8.34265544421071
"YMR",2021-07-27,7.88639681514996
"YMR",2021-07-28,7.35378331937329
"YMR",2021-07-29,6.84009717915021
"YMR",2021-07-30,6.43550820916985
"YMR",2021-07-31,6.32959685556129
"YMR",2021-08-01,7.03295112494006
"YMR",2021-08-02,6.83327008127134
"YMR",2021-08-03,6.72170560808487
"YMR",2021-08-04,6.5959608409809
"YMR",2021-08-05,6.46616560517461
"YMR",2021-08-06,6.09423125569444
"YMR",2021-08-07,5.72171722398268
"YMR",2021-08-08,5.65685370503434
"YMR",2021-08-09,5.1593036773505
"YMR",2021-08-10,4.47816000574462
"YMR",2021-08-11,4.05389707425567
"YMR",2021-08-12,4.62062543889871
"YMR",2021-08-13,8.12247118614872
"YMR",2021-08-14,6.81034584108727
"YMR",2021-08-15,6.66816050649048
"YMR",2021-08-16,6.5668866107347
"YMR",2021-08-17,6.25513935211603
"YMR",2021-08-18,6.0267835231002
"YMR",2021-08-19,5.99239959846373
"YMR",2021-08-20,6.13942211336286
"YMR",2021-08-21,6.15453282161848
"YMR",2021-08-22,5.63987973246286
"YMR",2021-08-23,4.92374809759263
"YMR",2021-08-24,4.11453605867712
"YMR",2021-08-25,3.62251980422939
"YMR",2021-08-26,3.14081361232938
"YMR",2021-08-27,2.86025593697431
"YMR",2021-08-28,2.49884909629878
"YMR",2021-08-29,2.87539221944603
"YMR",2021-08-30,2.66147973342759
"YMR",2021-08-31,2.18881707146845
"YMR",2021-09-01,1.8827424175447
"YMR",2021-09-02,1.36926087105042
"YMR",2021-09-03,7.02907115101176
"YMR",2021-09-04,11.9080592075682
"YMR",2021-09-05,9.31906440106876
"YMR",2021-09-06,8.67995499817267
"YMR",2021-09-07,8.32333595067692
"YMR",2021-09-08,8.02573488702096
"YMR",2021-09-09,7.69781254562898
"YMR",2021-09-10,7.46348696388353
"YMR",2021-09-11,7.18412884104553
"YMR",2021-09-12,7.10180909287925
"YMR",2021-09-13,6.9779592534063
"YMR",2021-09-14,7.44367059986552
"YMR",2021-09-15,7.40292234887961
"YMR",2021-09-16,7.20072263038177
"YMR",2021-09-17,7.11649599983951
"YMR",2021-09-18,6.70334332092511
"YMR",2021-09-19,6.33559340032682
"YMR",2021-09-20,5.99923643890111
"YMR",2021-09-21,5.44584206581352
"YMR",2021-09-22,5.47604156156811
"YMR",2021-09-23,5.2965349209428
"YMR",2021-09-24,4.8681448805121
"YMR",2021-09-25,4.88415433979066
"YMR",2021-09-26,4.33436471335335
"YMR",2021-09-27,3.8931218026027
"YMR",2021-09-28,3.99510934076965
"YMR",2021-09-29,4.40265517725908
"YMR",2021-09-30,5.11118761648818
"YMR",2021-10-01,4.83418232153137
"YMR",2021-10-02,5.57442922436403
"YMR",2021-10-03,4.70890276159645
"YMR",2021-10-04,4.23992522239533
"YMR",2021-10-05,4.06268372662458
"YMR",2021-10-06,4.20132033428256
"YMR",2021-10-07,3.86888231701921
"YMR",2021-10-08,3.51819648765865
"YMR",2021-10-09,2.94307864472388
"YMR",2021-10-10,3.79970040900942
"YMR",2021-10-11,11.4883692718907
"YMR",2021-10-12,8.87536880121215
"YMR",2021-10-13,13.6726387125905
"YMR",2021-10-14,11.9525120664291
"YMR",2021-10-15,11.2712828981188
"YMR",2021-10-16,10.8620688978012
"YMR",2021-10-17,10.5424472162634
"YMR",2021-10-18,10.249858698963
"YMR",2021-10-19,10.0063848547727
"YMR",2021-10-20,9.82079642199484
"YMR",2021-10-21,9.68877014028879
"YMR",2021-10-22,9.54019368730664
"YMR",2021-10-23,11.2635719123722
"YMR",2021-10-24,10.5105841786425
"YMR",2021-10-25,10.1783288343513
"YMR",2021-10-26,10.1325217598569
"YMR",2021-10-27,11.731397394029
"YMR",2021-10-28,13.2895734900078
"YMR",2021-10-29,13.4212928811207
"YMR",2021-10-30,13.2699909473941
"YMR",2021-10-31,12.7715860102007
"YMR",2021-11-01,12.4399493183751
"YMR",2021-11-02,12.2091968199648
"YMR",2021-11-03,11.9888786017232
"YMR",2021-11-04,11.6762703444959
"YMR",2021-11-05,11.3980387049861
"YMR",2021-11-06,11.1591414276578
"YMR",2021-11-07,10.8926629671756
"YMR",2021-11-08,10.7225895588318
"YMR",2021-11-09,10.5556142840954
"YMR",2021-11-10,11.0195159503106
"YMR",2021-11-11,10.5545182462626
"YMR",2021-11-12,10.278219286798
"YMR",2021-11-13,10.0465047107344
"YMR",2021-11-14,9.836533089635
"YMR",2021-11-15,9.64413704409532
"YMR",2021-11-16,9.60100186627342
"YMR",2021-11-17,9.35181644715409
"YMR",2021-11-18,9.12865096618673
"YMR",2021-11-19,9.03113769801746
"YMR",2021-11-20,9.0062527679324
"YMR",2021-11-21,8.84199566702154
"YMR",2021-11-22,8.70327868325582
"YMR",2021-11-23,8.50077307886086
"YMR",2021-11-24,NA
"YMR",2021-11-25,NA
"YMR",2021-11-26,NA
"YMR",2021-11-27,NA
