event_id,peak_date,peak_value,peak_quantile,peak2zero,drying_rate,p_value,calendar_year,dry_date_start,dry_date_mean,dry_dur,gage,season,meteorologic_year
13,163,72.8,0.8693586698337292,3,0.13395043470672346,NA,2022,165,172.5,16,GBJ,NA,NA
16,194,10.1,0.7339667458432304,9,0.18185504698476257,0.5899012322225017,2022,202,194.95019157088123,261,GBJ,NA,NA
21,121,995.4,1,4,-0.05715515788095742,0.7803722585047232,2023,124,143,39,GBJ,NA,NA
30,275,30.8,0.7980997624703088,4,-0.27299771503529413,0.3167161511841299,2023,278,290.5,26,GBJ,NA,NA
4,176,14.2,0.7913741223671013,18,-0.5919541881925301,0.009831758866423531,2021,193,193.5,2,KMZ,NA,NA
6,203,13.2,0.7743229689067201,8,-0.6185644508346874,0.08934635942704262,2021,210,227.5,36,KMZ,NA,NA
7,246,17.5,0.8154463390170511,12,0.08514497433805655,0.735821520919882,2021,257,284.5,56,KMZ,NA,NA
12,332,7.6,0.7452357071213641,8,-0.11269861000899976,0.40637289508265617,2021,339,116.02830188679245,106,KMZ,NA,NA
29,208,22,0.8946840521564694,16,-0.504635099314819,0.03623011371663735,2022,223,181,292,KMZ,NA,NA
33,168,31.1,0.9608826479438315,15,-0.15465024319179144,0.5040808734035667,2023,182,183,3,KMZ,NA,NA
34,185,8.7,0.7522567703109327,4,0.4824492040035076,0.13518097665800227,2023,188,235.14285714285714,210,KMZ,NA,NA
9,160,12.1,0.9109195402298851,20,-0.15485611723440593,0.28549584549660473,2023,179,179.5,2,SHN,NA,NA
10,181,0.2,0.8103448275862069,2,NA,NA,2023,182,212.87654320987653,243,SHN,NA,NA
31,48,30.6,0.888095238095238,2,NA,NA,2022,49,58,19,TAL,NA,NA
48,177,14.8,0.7404761904761905,3,-0.5804047402157861,NA,2022,179,181.5,6,TAL,NA,NA
52,210,17,0.7726190476190476,7,-0.16066388507758286,0.6608399936876312,2022,216,219,7,TAL,NA,NA
59,262,4,0.36547619047619045,13,-0.4608577037331445,0.06781949145273518,2022,274,276,5,TAL,NA,NA
64,311,7.7,0.6154761904761905,2,NA,NA,2022,312,314.5,6,TAL,NA,NA
70,336,3.3,0.305952380952381,3,-0.683007499855769,NA,2022,338,341,7,TAL,NA,NA
74,364,5.2,0.47619047619047616,2,NA,NA,2023,0,9,19,TAL,NA,NA
122,259,2.4,0.25357142857142856,22,-0.08430808250426536,0.6788401082926848,2023,280,281,3,TAL,NA,NA
16,313,11,0.9236031927023945,15,-0.7537960905465049,4.030119236697632e-5,2021,327,329.5,6,YMR,NA,NA
18,348,6.6,0.7787913340935005,7,-0.6580806917933294,0.004537523702207303,2021,354,78.2127659574468,94,YMR,NA,NA
32,192,1.8,0.6590649942987458,5,0.042976206693433876,0.5211037642774825,2022,196,196.5,2,YMR,NA,NA
33,198,0.1,0.645381984036488,2,NA,NA,2022,199,205.95833333333334,240,YMR,NA,NA
34,74,0.2,0.6465222348916762,2,NA,NA,2023,75,101.5,54,YMR,NA,NA
37,134,22.9,0.9977194982896237,3,-0.358664560943199,NA,2023,136,142,13,YMR,NA,NA
42,164,1.8,0.6590649942987458,2,NA,NA,2023,165,166,3,YMR,NA,NA
43,168,4.7,0.7160775370581528,2,NA,NA,2023,169,176.5,16,YMR,NA,NA
48,201,8.6,0.8472063854047891,7,-0.050981127652612895,0.6501290293807764,2023,207,242,71,YMR,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
