"Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21276053, SEN S/N: 21276053)","Temp, ¡C (LGR S/N: 21276053, SEN S/N: 21276053)"
8/14/23 0:00,7.57,23.16
8/14/23 0:15,7.6,23.1
8/14/23 0:30,7.57,23.06
8/14/23 0:45,7.61,23
8/14/23 1:00,7.63,22.96
8/14/23 1:15,7.63,22.92
8/14/23 1:30,7.64,22.88
8/14/23 1:45,7.64,22.82
8/14/23 2:00,7.66,22.78
8/14/23 2:15,7.67,22.74
8/14/23 2:30,7.69,22.68
8/14/23 2:45,7.69,22.64
8/14/23 3:00,7.66,22.6
8/14/23 3:15,7.7,22.56
8/14/23 3:30,7.71,22.52
8/14/23 3:45,7.7,22.48
8/14/23 4:00,7.72,22.42
8/14/23 4:15,7.73,22.38
8/14/23 4:30,7.73,22.34
8/14/23 4:45,7.74,22.3
8/14/23 5:00,7.75,22.26
8/14/23 5:15,7.75,22.22
8/14/23 5:30,7.77,22.18
8/14/23 5:45,7.78,22.14
8/14/23 6:00,7.77,22.1
8/14/23 6:15,7.76,22.08
8/14/23 6:30,7.78,22.04
8/14/23 6:45,7.76,22
8/14/23 7:00,7.76,21.98
8/14/23 7:15,7.78,21.96
8/14/23 7:30,7.79,21.94
8/14/23 7:45,7.8,21.94
8/14/23 8:00,7.77,21.96
8/14/23 8:15,7.71,21.98
8/14/23 8:30,7.69,22
8/14/23 8:45,7.8,22.04
8/14/23 9:00,7.88,22.08
8/14/23 9:15,7.81,22.12
8/14/23 9:30,7.73,22.18
8/14/23 9:45,7.66,22.26
8/14/23 10:00,7.65,22.34
8/14/23 10:15,7.63,22.42
8/14/23 10:30,7.64,22.5
8/14/23 10:45,7.7,22.6
8/14/23 11:00,7.69,22.7
8/14/23 11:15,7.67,22.82
8/14/23 11:30,7.63,22.94
8/14/23 11:45,7.69,23.04
8/14/23 12:00,7.56,23.14
8/14/23 12:15,7.54,23.24
8/14/23 12:30,7.46,23.32
8/14/23 12:45,7.37,23.44
8/14/23 13:00,7.35,23.56
8/14/23 13:15,7.25,23.68
8/14/23 13:30,7.22,23.82
8/14/23 13:45,7.2,23.98
8/14/23 14:00,7.15,24.14
8/14/23 14:15,7.06,24.3
8/14/23 14:30,6.97,24.44
8/14/23 14:45,6.86,24.56
8/14/23 15:00,6.7,24.7
8/14/23 15:15,6.59,24.76
8/14/23 15:30,6.54,24.8
8/14/23 15:45,6.53,24.88
8/14/23 16:00,6.44,24.92
8/14/23 16:15,6.32,24.96
8/14/23 16:30,6.31,25
8/14/23 16:45,6.25,25.02
8/14/23 17:00,6.28,25.02
8/14/23 17:15,6.21,25
8/14/23 17:30,6.25,25
8/14/23 17:45,6.15,25
8/14/23 18:00,6.18,24.98
8/14/23 18:15,6.12,24.92
8/14/23 18:30,6.34,24.88
8/14/23 18:45,6.28,24.82
8/14/23 19:00,6.44,24.78
8/14/23 19:15,6.37,24.76
8/14/23 19:30,6.34,24.72
8/14/23 19:45,6.38,24.68
8/14/23 20:00,6.92,24.66
8/14/23 20:15,7.12,24.62
8/14/23 20:30,7.18,24.58
8/14/23 20:45,7.22,24.54
8/14/23 21:00,7.22,24.48
8/14/23 21:15,7.16,24.44
8/14/23 21:30,7.19,24.4
8/14/23 21:45,7.28,24.34
8/14/23 22:00,7.32,24.3
8/14/23 22:15,7.31,24.24
8/14/23 22:30,7.31,24.2
8/14/23 22:45,7.36,24.14
8/14/23 23:00,7.32,24.1
8/14/23 23:15,7.27,24.06
8/14/23 23:30,7.2,24
8/14/23 23:45,7.22,23.94
8/15/23 0:00,7.23,23.9
8/15/23 0:15,7.25,23.84
8/15/23 0:30,7.36,23.78
8/15/23 0:45,7.38,23.72
8/15/23 1:00,7.31,23.66
8/15/23 1:15,7.41,23.6
8/15/23 1:30,7.37,23.54
8/15/23 1:45,7.35,23.48
8/15/23 2:00,7.36,23.44
8/15/23 2:15,7.4,23.38
8/15/23 2:30,7.41,23.34
8/15/23 2:45,7.35,23.28
8/15/23 3:00,7.35,23.24
8/15/23 3:15,7.45,23.22
8/15/23 3:30,7.44,23.18
8/15/23 3:45,7.41,23.16
8/15/23 4:00,7.38,23.16
8/15/23 4:15,7.4,23.14
8/15/23 4:30,7.42,23.12
8/15/23 4:45,7.44,23.1
8/15/23 5:00,7.42,23.1
8/15/23 5:15,7.45,23.08
8/15/23 5:30,7.47,23.06
8/15/23 5:45,7.46,23.04
8/15/23 6:00,7.46,23.02
8/15/23 6:15,7.5,23.02
8/15/23 6:30,7.55,23
8/15/23 6:45,7.56,22.98
8/15/23 7:00,7.56,22.96
8/15/23 7:15,7.58,22.94
8/15/23 7:30,7.6,22.92
8/15/23 7:45,7.59,22.92
8/15/23 8:00,7.6,22.92
8/15/23 8:15,7.6,22.94
8/15/23 8:30,7.56,22.96
8/15/23 8:45,7.48,22.98
8/15/23 9:00,7.48,23.02
8/15/23 9:15,7.51,23.04
8/15/23 9:30,7.48,23.08
8/15/23 9:45,7.43,23.12
8/15/23 10:00,7.36,23.16
8/15/23 10:15,7.27,23.22
8/15/23 10:30,7.29,23.26
8/15/23 10:45,7.29,23.32
8/15/23 11:00,7.32,23.38
8/15/23 11:15,7.31,23.44
8/15/23 11:30,7.33,23.48
8/15/23 11:45,7.35,23.54
8/15/23 12:00,7.32,23.58
8/15/23 12:15,7.33,23.62
8/15/23 12:30,7.35,23.68
8/15/23 12:45,7.32,23.72
8/15/23 13:00,7.41,23.7
8/15/23 13:15,7.62,23.7
8/15/23 13:30,7.61,23.7
8/15/23 13:45,7.58,23.74
8/15/23 14:00,7.5,23.8
8/15/23 14:15,7.47,23.88
8/15/23 14:30,7.56,23.96
8/15/23 14:45,7.62,23.98
8/15/23 15:00,7.61,24
8/15/23 15:15,7.58,24.06
8/15/23 15:30,7.54,24.12
8/15/23 15:45,7.54,24.16
8/15/23 16:00,7.52,24.2
8/15/23 16:15,7.51,24.24
8/15/23 16:30,7.56,24.24
8/15/23 16:45,7.57,24.22
8/15/23 17:00,7.65,24.18
8/15/23 17:15,7.63,24.12
8/15/23 17:30,7.59,24.08
8/15/23 17:45,7.55,24.04
8/15/23 18:00,7.45,24
8/15/23 18:15,7.42,23.98
8/15/23 18:30,7.45,23.94
8/15/23 18:45,7.38,23.88
8/15/23 19:00,7.41,23.84
8/15/23 19:15,7.42,23.74
8/15/23 19:30,7.49,23.66
8/15/23 19:45,7.42,23.6
8/15/23 20:00,7.43,23.5
8/15/23 20:15,7.44,23.42
8/15/23 20:30,7.46,23.32
8/15/23 20:45,7.47,23.22
8/15/23 21:00,7.5,23.12
8/15/23 21:15,7.55,23
8/15/23 21:30,7.57,22.9
8/15/23 21:45,7.55,22.8
8/15/23 22:00,7.52,22.7
8/15/23 22:15,7.58,22.6
8/15/23 22:30,7.56,22.5
8/15/23 22:45,7.62,22.38
8/15/23 23:00,7.6,22.26
8/15/23 23:15,7.58,22.16
8/15/23 23:30,7.61,22.08
