Date,gage,Flow,Flow_cms
1979-10-01,08052700,0,0
1979-10-02,08052700,0,0
1979-10-03,08052700,0,0
1979-10-04,08052700,0,0
1979-10-05,08052700,0,0
1979-10-06,08052700,0,0
1979-10-07,08052700,0,0
1979-10-08,08052700,0,0
1979-10-09,08052700,0,0
1979-10-10,08052700,0,0
1979-10-11,08052700,0,0
1979-10-12,08052700,0,0
1979-10-13,08052700,0,0
1979-10-14,08052700,0,0
1979-10-15,08052700,0,0
1979-10-16,08052700,0,0
1979-10-17,08052700,0,0
1979-10-18,08052700,0,0
1979-10-19,08052700,0,0
1979-10-20,08052700,0,0
1979-10-21,08052700,0,0
1979-10-22,08052700,0,0
1979-10-23,08052700,0,0
1979-10-24,08052700,0,0
1979-10-25,08052700,0,0
1979-10-26,08052700,0,0
1979-10-27,08052700,0,0
1979-10-28,08052700,0,0
1979-10-29,08052700,0,0
1979-10-30,08052700,0,0
1979-10-31,08052700,0,0
1979-11-01,08052700,0,0
1979-11-02,08052700,0,0
1979-11-03,08052700,0,0
1979-11-04,08052700,0,0
1979-11-05,08052700,0,0
1979-11-06,08052700,0,0
1979-11-07,08052700,0,0
1979-11-08,08052700,0,0
1979-11-09,08052700,0,0
1979-11-10,08052700,0,0
1979-11-11,08052700,0,0
1979-11-12,08052700,0,0
1979-11-13,08052700,0,0
1979-11-14,08052700,0,0
1979-11-15,08052700,0,0
1979-11-16,08052700,0,0
1979-11-17,08052700,0,0
1979-11-18,08052700,0,0
1979-11-19,08052700,0,0
1979-11-20,08052700,0,0
1979-11-21,08052700,0,0
1979-11-22,08052700,0,0
1979-11-23,08052700,0,0
1979-11-24,08052700,0,0
1979-11-25,08052700,0,0
1979-11-26,08052700,0,0
1979-11-27,08052700,0,0
1979-11-28,08052700,0,0
1979-11-29,08052700,0,0
1979-11-30,08052700,0,0
1979-12-01,08052700,0,0
1979-12-02,08052700,0,0
1979-12-03,08052700,0,0
1979-12-04,08052700,0,0
1979-12-05,08052700,0,0
1979-12-06,08052700,0,0
1979-12-07,08052700,0,0
1979-12-08,08052700,0,0
1979-12-09,08052700,0,0
1979-12-10,08052700,0,0
1979-12-11,08052700,0,0
1979-12-12,08052700,0,0
1979-12-13,08052700,0,0
1979-12-14,08052700,0,0
1979-12-15,08052700,0,0
1979-12-16,08052700,0,0
1979-12-17,08052700,0,0
1979-12-18,08052700,0,0
1979-12-19,08052700,0,0
1979-12-20,08052700,0,0
1979-12-21,08052700,0,0
1979-12-22,08052700,0,0
1979-12-23,08052700,0,0
1979-12-24,08052700,3.1,0.0877822257
1979-12-25,08052700,1.1,0.031148531700000003
1979-12-26,08052700,0.79,0.022370309130000002
1979-12-27,08052700,0.6,0.0169901082
1979-12-28,08052700,0.4,0.0113267388
1979-12-29,08052700,0.24,0.00679604328
1979-12-30,08052700,0.24,0.00679604328
1979-12-31,08052700,0.35,0.00991089645
1980-01-01,08052700,0.69,0.01953862443
1980-01-02,08052700,0.69,0.01953862443
1980-01-03,08052700,0.69,0.01953862443
1980-01-04,08052700,0.4,0.0113267388
1980-01-05,08052700,0.28,0.007928717160000001
1980-01-06,08052700,0.18,0.0050970324599999995
1980-01-07,08052700,0.05,0.00141584235
1980-01-08,08052700,0.02,5.6633694e-4
1980-01-09,08052700,0.09,0.0025485162299999998
1980-01-10,08052700,0.31,0.008778222569999999
1980-01-11,08052700,0.74,0.02095446678
1980-01-12,08052700,0.95,0.026901004649999997
1980-01-13,08052700,0.89,0.025201993829999998
1980-01-14,08052700,0.84,0.02378615148
1980-01-15,08052700,0.74,0.02095446678
1980-01-16,08052700,0.74,0.02095446678
1980-01-17,08052700,0.65,0.01840595055
1980-01-18,08052700,0.6,0.0169901082
1980-01-19,08052700,0.6,0.0169901082
1980-01-20,08052700,0.69,0.01953862443
1980-01-21,08052700,0.95,0.026901004649999997
1980-01-22,08052700,1.8,0.0509703246
1980-01-23,08052700,3.7,0.1047723339
1980-01-24,08052700,2.3,0.0651287481
1980-01-25,08052700,1.4,0.0396435858
1980-01-26,08052700,1.1,0.031148531700000003
1980-01-27,08052700,0.89,0.025201993829999998
1980-01-28,08052700,0.79,0.022370309130000002
1980-01-29,08052700,0.89,0.025201993829999998
1980-01-30,08052700,1,0.028316847
1980-01-31,08052700,0.65,0.01840595055
1980-02-01,08052700,0.6,0.0169901082
1980-02-02,08052700,1.2,0.0339802164
1980-02-03,08052700,1.2,0.0339802164
1980-02-04,08052700,0.89,0.025201993829999998
1980-02-05,08052700,0.89,0.025201993829999998
1980-02-06,08052700,0.74,0.02095446678
1980-02-07,08052700,0.69,0.01953862443
1980-02-08,08052700,5.9,0.1670693973
1980-02-09,08052700,83,2.350298301
1980-02-10,08052700,22,0.622970634
1980-02-11,08052700,21,0.5946537869999999
1980-02-12,08052700,40,1.13267388
1980-02-13,08052700,14,0.396435858
1980-02-14,08052700,8.4,0.2378615148
1980-02-15,08052700,6.1,0.17273276669999998
1980-02-16,08052700,4.5,0.12742581149999999
1980-02-17,08052700,3.4,0.09627727979999999
1980-02-18,08052700,2.5,0.0707921175
1980-02-19,08052700,2,0.056633694
1980-02-20,08052700,1.6,0.0453069552
1980-02-21,08052700,1.2,0.0339802164
1980-02-22,08052700,0.84,0.02378615148
1980-02-23,08052700,0.6,0.0169901082
1980-02-24,08052700,0.4,0.0113267388
1980-02-25,08052700,0.35,0.00991089645
1980-02-26,08052700,0.16,0.00453069552
1980-02-27,08052700,0.09,0.0025485162299999998
1980-02-28,08052700,0.02,5.6633694e-4
1980-02-29,08052700,0.01,2.8316847e-4
1980-03-01,08052700,0,0
1980-03-02,08052700,0,0
1980-03-03,08052700,0,0
1980-03-04,08052700,0,0
1980-03-05,08052700,0,0
1980-03-06,08052700,0,0
1980-03-07,08052700,0,0
1980-03-08,08052700,0,0
1980-03-09,08052700,0,0
1980-03-10,08052700,0,0
1980-03-11,08052700,0,0
1980-03-12,08052700,0,0
1980-03-13,08052700,0,0
1980-03-14,08052700,0,0
1980-03-15,08052700,0,0
1980-03-16,08052700,0,0
1980-03-17,08052700,0,0
1980-03-18,08052700,0,0
1980-03-19,08052700,0,0
1980-03-20,08052700,0,0
1980-03-21,08052700,0,0
1980-03-22,08052700,0,0
1980-03-23,08052700,0,0
1980-03-24,08052700,0,0
1980-03-25,08052700,0,0
1980-03-26,08052700,0,0
1980-03-27,08052700,0,0
1980-03-28,08052700,0.01,2.8316847e-4
1980-03-29,08052700,0.25,0.00707921175
1980-03-30,08052700,0.98,0.027750510059999997
1980-03-31,08052700,0.37,0.01047723339
1980-04-01,08052700,0.12,0.00339802164
1980-04-02,08052700,0.08,0.00226534776
1980-04-03,08052700,0.05,0.00141584235
1980-04-04,08052700,0.01,2.8316847e-4
1980-04-05,08052700,0.01,2.8316847e-4
1980-04-06,08052700,0,0
1980-04-07,08052700,0,0
1980-04-08,08052700,0,0
1980-04-09,08052700,0,0
1980-04-10,08052700,0,0
1980-04-11,08052700,0,0
1980-04-12,08052700,0,0
1980-04-13,08052700,0.01,2.8316847e-4
1980-04-14,08052700,0.33,0.00934455951
1980-04-15,08052700,0.94,0.026617836179999996
1980-04-16,08052700,1.2,0.0339802164
1980-04-17,08052700,1.2,0.0339802164
1980-04-18,08052700,0.94,0.026617836179999996
1980-04-19,08052700,0.64,0.01812278208
1980-04-20,08052700,0.39,0.01104357033
1980-04-21,08052700,0.3,0.0084950541
1980-04-22,08052700,0.19,0.00538020093
1980-04-23,08052700,0.09,0.0025485162299999998
1980-04-24,08052700,0.07,0.0019821792900000003
1980-04-25,08052700,0.31,0.008778222569999999
1980-04-26,08052700,0.71,0.020104961369999997
1980-04-27,08052700,1,0.028316847
1980-04-28,08052700,1.2,0.0339802164
1980-04-29,08052700,1.2,0.0339802164
1980-04-30,08052700,1.3,0.0368119011
1980-05-01,08052700,1.1,0.031148531700000003
1980-05-02,08052700,0.97,0.02746734159
1980-05-03,08052700,0.84,0.02378615148
1980-05-04,08052700,0.65,0.01840595055
1980-05-05,08052700,0.41,0.011609907269999999
1980-05-06,08052700,0.27,0.00764554869
1980-05-07,08052700,0.15,0.00424752705
1980-05-08,08052700,0.15,0.00424752705
1980-05-09,08052700,0.1,0.0028316847
1980-05-10,08052700,0.04,0.00113267388
1980-05-11,08052700,0.01,2.8316847e-4
1980-05-12,08052700,0,0
1980-05-13,08052700,0,0
1980-05-14,08052700,0,0
1980-05-15,08052700,0.02,5.6633694e-4
