Date,gage,Flow,Flow_cms
1979-01-01,11128500,3.4,0.09627727979999999
1979-01-02,11128500,3.6,0.1019406492
1979-01-03,11128500,8.3,0.2350298301
1979-01-04,11128500,9.1,0.2576833077
1979-01-05,11128500,13,0.368119011
1979-01-06,11128500,20,0.56633694
1979-01-07,11128500,13,0.368119011
1979-01-08,11128500,9.2,0.2605149924
1979-01-09,11128500,9.9,0.2803367853
1979-01-10,11128500,7.8,0.2208714066
1979-01-11,11128500,7,0.198217929
1979-01-12,11128500,6.7,0.1897228749
1979-01-13,11128500,6.9,0.1953862443
1979-01-14,11128500,8.1,0.2293664607
1979-01-15,11128500,387,10.958619789
1979-01-16,11128500,105,2.973268935
1979-01-17,11128500,54,1.529109738
1979-01-18,11128500,35,0.991089645
1979-01-19,11128500,24,0.6796043279999999
1979-01-20,11128500,15,0.424752705
1979-01-21,11128500,12,0.33980216399999996
1979-01-22,11128500,11,0.311485317
1979-01-23,11128500,10,0.28316847
1979-01-24,11128500,9.8,0.2775051006
1979-01-25,11128500,9.6,0.2718417312
1979-01-26,11128500,9.2,0.2605149924
1979-01-27,11128500,8.8,0.24918825360000002
1979-01-28,11128500,8.4,0.2378615148
1979-01-29,11128500,8.2,0.23219814539999997
1979-01-30,11128500,30,0.84950541
1979-01-31,11128500,181,5.125349307
1979-02-01,11128500,109,3.086536323
1979-02-02,11128500,66,1.868911902
1979-02-03,11128500,49,1.387525503
1979-02-04,11128500,43,1.217624421
1979-02-05,11128500,36,1.0194064919999999
1979-02-06,11128500,31,0.8778222569999999
1979-02-07,11128500,27,0.764554869
1979-02-08,11128500,23,0.651287481
1979-02-09,11128500,20,0.56633694
1979-02-10,11128500,17,0.48138639899999996
1979-02-11,11128500,15,0.424752705
1979-02-12,11128500,13,0.368119011
1979-02-13,11128500,18,0.5097032459999999
1979-02-14,11128500,52,1.472476044
1979-02-15,11128500,35,0.991089645
1979-02-16,11128500,39,1.1043570329999999
1979-02-17,11128500,31,0.8778222569999999
1979-02-18,11128500,27,0.764554869
1979-02-19,11128500,24,0.6796043279999999
1979-02-20,11128500,31,0.8778222569999999
1979-02-21,11128500,125,3.539605875
1979-02-22,11128500,99,2.803367853
1979-02-23,11128500,345,9.769312215
1979-02-24,11128500,1070,30.29902629
1979-02-25,11128500,866,24.522389502
1979-02-26,11128500,274,7.758816078
1979-02-27,11128500,260,7.3623802199999995
1979-02-28,11128500,249,7.050894903
1979-03-01,11128500,265,7.503964455
1979-03-02,11128500,266,7.5322813019999995
1979-03-03,11128500,268,7.588914996
1979-03-04,11128500,245,6.937627515
1979-03-05,11128500,183,5.181983001
1979-03-06,11128500,131,3.709506957
1979-03-07,11128500,134,3.794457498
1979-03-08,11128500,175,4.955448225
1979-03-09,11128500,263,7.447330761
1979-03-10,11128500,236,6.6827758919999996
1979-03-11,11128500,168,4.7572302959999995
1979-03-12,11128500,121,3.4263384869999998
1979-03-13,11128500,113,3.199803711
1979-03-14,11128500,115,3.256437405
1979-03-15,11128500,114,3.228120558
1979-03-16,11128500,117,3.313071099
1979-03-17,11128500,242,6.8526769739999995
1979-03-18,11128500,215,6.088122105
1979-03-19,11128500,130,3.6811901099999997
1979-03-20,11128500,121,3.4263384869999998
1979-03-21,11128500,116,3.284754252
1979-03-22,11128500,114,3.228120558
1979-03-23,11128500,112,3.171486864
1979-03-24,11128500,98,2.775051006
1979-03-25,11128500,68,1.9255455959999999
1979-03-26,11128500,82,2.321981454
1979-03-27,11128500,1190,33.69704793
1979-03-28,11128500,4080,115.53273576
1979-03-29,11128500,3670,103.92282849
1979-03-30,11128500,1360,38.51091192
1979-03-31,11128500,830,23.502983009999998
1979-04-01,11128500,757,21.435853179
1979-04-02,11128500,682,19.312089654
1979-04-03,11128500,490,13.87525503
1979-04-04,11128500,479,13.563769713
1979-04-05,11128500,417,11.808125199
1979-04-06,11128500,311,8.806539417
1979-04-07,11128500,294,8.325153018
1979-04-08,11128500,285,8.070301395
1979-04-09,11128500,282,7.985350854
1979-04-10,11128500,278,7.872083465999999
1979-04-11,11128500,295,8.353469865
1979-04-12,11128500,285,8.070301395
1979-04-13,11128500,275,7.787132925
1979-04-14,11128500,191,5.408517777
1979-04-15,11128500,135,3.822774345
1979-04-16,11128500,129,3.652873263
1979-04-17,11128500,113,3.199803711
1979-04-18,11128500,49,1.387525503
1979-04-19,11128500,59,1.6706939729999999
1979-04-20,11128500,54,1.529109738
1979-04-21,11128500,82,2.321981454
1979-04-22,11128500,50,1.41584235
1979-04-23,11128500,33,0.934455951
1979-04-24,11128500,22,0.622970634
1979-04-25,11128500,49,1.387525503
1979-04-26,11128500,62,1.7556445139999999
1979-04-27,11128500,36,1.0194064919999999
1979-04-28,11128500,36,1.0194064919999999
1979-04-29,11128500,39,1.1043570329999999
1979-04-30,11128500,39,1.1043570329999999
1979-05-01,11128500,30,0.84950541
1979-05-02,11128500,28,0.792871716
1979-05-03,11128500,27,0.764554869
1979-05-04,11128500,23,0.651287481
1979-05-05,11128500,25,0.707921175
1979-05-06,11128500,26,0.736238022
1979-05-07,11128500,21,0.5946537869999999
1979-05-08,11128500,15,0.424752705
1979-05-09,11128500,11,0.311485317
1979-05-10,11128500,10,0.28316847
1979-05-11,11128500,7.2,0.2038812984
1979-05-12,11128500,4.9,0.1387525503
1979-05-13,11128500,5.1,0.14441591969999998
1979-05-14,11128500,6.3,0.1783961361
1979-05-15,11128500,5.2,0.1472476044
1979-05-16,11128500,4.9,0.1387525503
1979-05-17,11128500,4,0.113267388
1979-05-18,11128500,3.7,0.1047723339
1979-05-19,11128500,2.8,0.0792871716
1979-05-20,11128500,3.9,0.1104357033
1979-05-21,11128500,3.2,0.0906139104
1979-05-22,11128500,3.1,0.0877822257
1979-05-23,11128500,2.5,0.0707921175
1979-05-24,11128500,2.3,0.0651287481
1979-05-25,11128500,2.2,0.062297063400000005
1979-05-26,11128500,2.3,0.0651287481
1979-05-27,11128500,2.3,0.0651287481
1979-05-28,11128500,2.4,0.0679604328
