site_no,event_id,peak_date,peak_value,peak_quantile,peak2zero,drying_rate,p_value,calendar_year,season,meteorologic_year,dry_date_start,dry_date_mean,dry_dur
02264000,1,NA,NA,NA,NA,NA,NA,1979,Winter,1978,9,9.5,2
02264000,5,65,2.5,0.5780387178673437,34,0.3790787394657088,9.679570845966515e-6,1979,Spring,1979,98,112,29
02264000,8,144,0.5,0.3669946048873374,14,-0.11122560539178525,0.6628490680755277,1979,Spring,1979,157,175.5,38
02264000,29,73,0.5,0.3669946048873374,78,0.08742996637860025,0.2098076708862357,1980,Spring,1980,150,185.8793103448276,464
02264000,31,264,0.5,0.3669946048873374,76,-0.0023877831614017284,0.970235064229817,1981,Fall,1981,339,349,21
02264000,35,100,1.8,0.5334179625515709,31,0.2954830055521556,0.017793975913416887,1982,Spring,1982,130,139.5,20
02264000,36,150,0.5,0.3669946048873374,16,-0.08986810356927544,0.6719785865001409,1982,Spring,1982,165,165.5,2
02264000,50,278,10,0.8001269438273564,80,0.6239372413701167,2.899201062486036e-17,1982,Fall,1982,357,109.78571428571429,28
02264000,91,95,9.2,0.7840685496667724,68,0.49300288178420987,1.0700673375419146e-10,1984,Spring,1984,162,163,3
02264000,106,340,0.6,0.3885750555379245,116,0.10146888941356928,0.003308382595578087,1985,Winter,1984,89,150,123
02264000,126,102,1.5,0.5087908600444303,15,0.3563398724978603,0.03668713307197068,1986,Spring,1986,116,143.5,56
02264000,200,120,1.1,0.46772453189463664,17,0.368032970810745,0.022470699546963218,1989,Spring,1989,136,179.60047281323878,423
02264000,207,254,0.4,0.3464297048556014,14,0.0872349627064218,0.7845157971572291,1990,Summer,1990,267,268.5,4
02264000,210,295,0.7,0.4105363376705808,49,0.1566874241165968,0.07812782205949026,1990,Fall,1990,343,108.43877551020408,98
02264000,290,303,2.2,0.5610282450015868,49,0.37421189831901025,6.591800621386994e-6,1993,Fall,1993,351,354.5,8
02264000,295,68,1.7,0.5258013329101873,31,0.35296141284143423,0.0020766881439564133,1994,Spring,1994,98,103.5,12
02264000,297,123,3.9,0.6422722945096795,22,0.5830147929493823,1.1161042000341685e-4,1994,Spring,1994,144,146,5
02264000,392,270,2,0.5473183116470962,28,0.3807359328432682,0.0018672146625522323,1997,Fall,1997,297,297.5,2
02264000,410,147,0.8,0.42983179942875277,18,0.006484716177847014,0.9658713106293405,1998,Spring,1998,164,177.5,28
02264000,427,23,1,0.45515709298635354,34,0.12238424022602788,0.219290360228446,1999,Winter,1998,56,115.5,120
02264000,430,190,0.8,0.42983179942875277,45,0.1191991140717572,0.2195902271486499,1999,Summer,1999,234,245,23
02264000,439,7,0.7,0.4105363376705808,50,0.047275676373293093,0.6787530741802665,2000,Winter,1999,56,122.5,134
02264000,447,277,0.8,0.42983179942875277,22,0.24036292625869365,0.09961307023860753,2000,Fall,2000,298,157.22307692307692,260
02264000,455,294,0.9,0.4442399238337036,38,0.10049962261744765,0.4056068881203485,2001,Fall,2001,331,248.04166666666666,48
02264000,457,62,0.7,0.4105363376705808,23,0.040356489945471065,0.7808972859050886,2002,Winter,2001,84,126.5,86
02264000,518,90,1.3,0.4901301174230403,46,0.10821038359466652,0.20252008817831493,2006,Spring,2006,135,152.5,36
02264000,527,269,1.4,0.5004760393525864,68,0.20051406281721612,1.6317959811081376e-4,2006,Fall,2006,336,342,13
02264000,529,74,0.4,0.3464297048556014,37,-0.049514810539019,0.5351435470471757,2007,Spring,2007,110,142,65
02264000,531,213,1.2,0.47972072357981593,21,0.2924610325767791,0.04364841299384896,2007,Summer,2007,233,233.5,2
02264000,543,303,2.2,0.5610282450015868,73,0.49445249012317793,9.73308896346206e-17,2008,Winter,2007,10,10.5,2
02264000,549,97,5.7,0.707711837511901,30,0.43135053267948664,1.908876398150816e-5,2008,Spring,2008,126,159.5,68
02264000,562,33,1.7,0.5258013329101873,68,0.21299077462006746,3.922167377560545e-6,2009,Spring,2009,100,119,39
02264000,613,271,2.2,0.5610282450015868,41,0.3062353074297164,5.6451765874303255e-8,2010,Fall,2010,311,262.07142857142856,70
02264000,616,90,8.5,0.7717549984132022,35,0.25035189043496675,1.702636517033179e-5,2011,Spring,2011,124,151,55
02264000,629,304,1.5,0.5087908600444303,60,0.23496244018623463,4.893378355104431e-4,2011,Fall,2011,363,90.12429378531074,177
02264000,641,355,0.3,0.321548714693748,37,-0.21406974290223066,0.12639221882948598,2013,Winter,2012,25,73.5,98
02264000,706,156,0.3,0.321548714693748,12,-0.3640372856863341,0.3520740993866457,2015,Spring,2015,167,170,7
02264000,752,53,1,0.45515709298635354,35,0.45258148968996154,4.3366845356207305e-4,2017,Winter,2016,87,120,67
02264000,774,42,2.3,0.5673119644557283,46,0.34411701278432666,2.1241144046377967e-9,2018,Winter,2017,87,92.5,12
02264000,775,100,0.3,0.321548714693748,19,-0.3082830021402755,0.19464924653403767,2018,Spring,2018,118,126.5,18
02264000,851,96,0.3,0.321548714693748,31,-0.34497772559219814,0.17624848927959894,2020,Spring,2020,126,138,25
02264000,885,132,0.4,0.3464297048556014,14,-0.21734179261042555,0.4493600283964,2021,Spring,2021,145,155,21
02264000,944,64,9.4,0.7878133925737861,49,0.49199932191099216,8.6421332125547e-18,2023,Spring,2023,112,112,1
02264000,946,117,0.8,0.42983179942875277,15,0.19866305797311257,0.2912713573942372,2023,Spring,2023,131,152.5,44
02266200,5,82,1,0.3633737013585787,18,0.33786448269100083,0.1360879746267881,1979,Spring,1979,99,106,15
02266200,8,179,0.6,0.3189893649720293,12,0.26058717907239703,0.3398240271495424,1979,Summer,1979,190,207,35
02266200,17,49,1.9,0.4405237597590213,107,0.18799626973642167,4.203079034789699e-10,1980,Spring,1980,155,181.9458762886598,776
02266200,26,346,0.9,0.3529845699883199,18,-0.03515690916191383,0.8290302124289377,1982,Fall,1982,363,42.76190476190476,21
02266200,30,113,6.9,0.6650888301469232,26,0.24513115826790816,0.0015368249359896113,1983,Spring,1983,138,148,21
02266200,31,164,0.5,0.30497325874469783,5,0.2213105051567829,0.34374275250120734,1983,Spring,1983,168,169.5,4
02266200,42,105,5.2,0.6097620950390361,26,0.24196721574296465,1.3681006178019027e-4,1984,Spring,1984,130,152.5,46
02266200,50,272,3.4,0.5246818712731296,63,0.2818348807293737,2.718914672700266e-13,1984,Fall,1984,334,147.5890909090909,275
02266200,61,59,7.4,0.6834696010327658,59,0.16302166135898247,0.03074527264129119,1986,Spring,1986,117,173,113
