event,gage,wet_date,wetLengthDate,wetLength,wetLengthQ,wetPeak,wetPeakLength,wetPeakQ,Q_threshold,Q_threshold_q,cluster
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2264000,1979-01-12,1979-01-12,0,0.5,1979-01-13,1,0.6,0.05,0,NA
1,2264000,1979-01-12,1979-01-12,0,0.5,1979-01-13,1,0.6,0.1,0,NA
1,2264000,1979-01-12,1979-01-12,0,0.5,1979-01-13,1,0.6,0.15,0,NA
1,2264000,1979-01-12,1979-01-12,0,0.5,1979-01-13,1,0.6,0.25,0.16,NA
1,2264000,1979-01-12,1979-03-06,53,1.8,1979-03-07,54,2.5,0.5,1.44,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2264000,1979-05-08,1979-05-08,0,0.1,1979-05-10,2,0.9,0.05,0,NA
2,2264000,1979-05-08,1979-05-08,0,0.1,1979-05-10,2,0.9,0.1,0,NA
2,2264000,1979-05-08,1979-05-08,0,0.1,1979-05-10,2,0.9,0.15,0,NA
2,2264000,1979-05-08,1979-05-09,1,0.6,1979-05-10,2,0.9,0.25,0.16,NA
2,2264000,1979-05-08,1979-05-14,6,1.5,1979-05-14,6,1.5,0.5,1.44,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2264000,1979-07-15,1979-07-15,0,0.4,1979-07-16,1,0.7,0.05,0,NA
3,2264000,1979-07-15,1979-07-15,0,0.4,1979-07-16,1,0.7,0.1,0,NA
3,2264000,1979-07-15,1979-07-15,0,0.4,1979-07-16,1,0.7,0.15,0,NA
3,2264000,1979-07-15,1979-07-15,0,0.4,1979-07-16,1,0.7,0.25,0.16,NA
3,2264000,1979-07-15,1979-08-10,26,1.5,1979-08-11,27,3.3,0.5,1.44,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2264000,1980-09-07,1981-09-06,364,0.2,1981-09-06,364,0.2,0.05,0,NA
4,2264000,1980-09-07,1981-09-06,364,0.2,1981-09-06,364,0.2,0.1,0,NA
4,2264000,1980-09-07,1981-09-06,364,0.2,1981-09-06,364,0.2,0.15,0,NA
4,2264000,1980-09-07,1981-09-10,368,0.3,1981-09-11,369,0.5,0.25,0.16,NA
4,2264000,1980-09-07,1982-04-11,581,1.8,1982-04-11,581,1.8,0.5,1.44,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2264000,1981-12-27,1981-12-27,0,0.2,1982-01-05,9,0.3,0.05,0,NA
5,2264000,1981-12-27,1981-12-27,0,0.2,1982-01-05,9,0.3,0.1,0,NA
5,2264000,1981-12-27,1981-12-27,0,0.2,1982-01-05,9,0.3,0.15,0,NA
5,2264000,1981-12-27,1981-12-28,1,0.3,1982-01-05,9,0.3,0.25,0.16,NA
5,2264000,1981-12-27,1982-04-11,105,1.8,1982-04-11,105,1.8,0.5,1.44,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2264000,1982-05-31,1982-05-31,0,0.5,1982-05-31,0,0.5,0.05,0,NA
6,2264000,1982-05-31,1982-05-31,0,0.5,1982-05-31,0,0.5,0.1,0,NA
6,2264000,1982-05-31,1982-05-31,0,0.5,1982-05-31,0,0.5,0.15,0,NA
6,2264000,1982-05-31,1982-05-31,0,0.5,1982-05-31,0,0.5,0.25,0.16,NA
6,2264000,1982-05-31,1982-06-18,18,7.2,1982-06-19,19,8.3,0.5,1.44,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2264000,1982-06-17,1982-06-17,0,0.2,1982-06-19,2,8.3,0.05,0,NA
7,2264000,1982-06-17,1982-06-17,0,0.2,1982-06-19,2,8.3,0.1,0,NA
7,2264000,1982-06-17,1982-06-17,0,0.2,1982-06-19,2,8.3,0.15,0,NA
7,2264000,1982-06-17,1982-06-18,1,7.2,1982-06-19,2,8.3,0.25,0.16,NA
7,2264000,1982-06-17,1982-06-18,1,7.2,1982-06-19,2,8.3,0.5,1.44,NA
