Watershed,siteName,siteId,Lat,Long,Elev_m,TWI,drainageArea_ha
YMR,Youngmeyer,EN101,37.56623,-96.49569,419.4683228,16.2030468,7.3534
YMR,Youngmeyer,EN201,37.56491,-96.49525,414.3523254,18.38231277,42.7188
YMR,Youngmeyer,EN202,37.5649,-96.49525,414.3523254,18.38231277,42.7188
YMR,Youngmeyer,EN203,37.564219,-96.4975,423.2637939,17.57871056,38.3538
YMR,Youngmeyer,EN204,37.56314,-96.49889,427.5307007,17.15350151,35.3755
YMR,Youngmeyer,EN205,37.5632,-96.50047,432.7425537,17.21632385,21.4612
YMR,Youngmeyer,EN206,37.5642,-96.50186,442.0078735,17.89225006,15.7665
YMR,Youngmeyer,EN207,37.560782,-96.501295,445.4164124,14.85011959,6.2341
YMR,Youngmeyer,EN301,37.563732,-96.493076,410.6661377,17.19824219,25.4342
YMR,Youngmeyer,EN302,37.56303,-96.49378,413.9438782,16.21098328,23.6548
YMR,Youngmeyer,EN303,37.56225,-96.49513,419.7801514,17.83701134,17.5832
YMR,Youngmeyer,EN304,37.56152,-96.49736,428.5910339,15.98370361,11.679
YMR,Youngmeyer,EN305,37.55947,-96.50045,450.6862488,13.54607677,3.4702
YMR,Youngmeyer,EN401,37.56488,-96.49329,411.6337891,17.39299965,14.0483
YMR,Youngmeyer,ENM01,37.56442,-96.49106,402.4945068,18.33032608,128.4624
YMR,Youngmeyer,ENM02,37.56436,-96.49228,406.7850647,17.74778557,125.4434
YMR,Youngmeyer,ENM03,37.56482,-96.49416,410.9513855,18.33180618,81.2367
YMR,Youngmeyer,ENM04,37.56527,-96.49505,413.0750427,16.96264458,29.0041
YMR,Youngmeyer,ENM05,37.56547,-96.49747,420.5132141,16.70602036,24.6358
YMR,Youngmeyer,ENM06,37.56528,-96.4971,419.4539185,15.7928896,25.98
YMR,Youngmeyer,ENM07,37.56578,-96.49889,425.9507141,17.91085815,14.0257
YMR,Youngmeyer,ENM08,37.56599,-96.50041,430.4170837,15.16395664,10.5214
YMR,Youngmeyer,ENM10,37.56556,-96.50249,440.3927917,14.15065289,6.1197
YMR,Youngmeyer,ENM11,37.56556,-96.50249,440.3927917,14.15065289,6.1197
YMR,Youngmeyer,ENM12,37.56562,-96.50307,445.3496094,13.28648186,2.3105
YMR,Youngmeyer,ENM13,37.5657,-96.50404,456.050415,13.32153225,1.4631
SHN,Shane Creek,SHA01,39.113456,-96.55737848,336.8395996,17.64486885,73.3464
SHN,Shane Creek,SHA02,39.1125329,-96.55782521,339.4632568,16.11998558,69.68
SHN,Shane Creek,SHA03,39.1103026,-96.55868859,347.265686,16.04883957,59.3352
SHN,Shane Creek,SHA04,39.106891,-96.55915327,360.9728394,16.16313553,33.0876
SHN,Shane Creek,SHB01,39.1118786,-96.55336247,340.3603516,17.9040947,219.492
