Site,Initials,Date of Check,Start Time,End Time,Routine or Special Trip?,Temp (*C),Pressure (mmHg),DO (%),DO (mg/L),Specific Cond. (uS/cm),Cond. (uS),pH,TDS (mg/L),Turbidity (NTU),Stage (ft),Connected?,Flowing?,Weather,Samples Not Collected,Notes,Any Issues to Report?,Follow Up Needed?,Follow Up Complete?
KMZ,SF,7/23/21,10:35 AM,2:00 AM,routine,,,,,,,,,,2.7,Y,Y,"hot, sunny",,forgot YSI and flow meter,,,
KMZ,SF,8/13/21,8:30 AM,10:30 AM,routine,,,,,,,,,,0,Dry,Dry,,Dry,weirs also dry,,,
KMZ,SF,9/3/21,10:00 AM,2:00 PM,Routine,24.2,727.7,86.3,7.24,105.9,104.2,9.03,,,0.51,N,N,warm and cloudy,,"Isolated pool at super sensor after ~ a month of being dry, very turbid",Need to replace wing nuts on s::can u bolts!!,Y,Y
KMZ,SF,9/25/21,10:00 AM,12:00 PM,Routine,,,,,,,,,,0,Dry,Dry,"sunny, warm",site was dry,sensor site dry,N,N,
KMZ,SF,10/22/21,12:00 PM,2:30 AM,Routine,,,,,,,,,,0,Dry,Dry,"cool, sunny",site was dry,sensor site dry,N,N,
KMZ,SF,12/14/21,11:30 AM,1:00 PM,Routine,10.1,728.7,79.5,8.85,723,517,11.3,,,0,N,N,"cool, breezy, cloudy",,"isolated pool, very clear water but with a lot of leaf litter, sensors partially out of water","All metal hardware will need replaced, very rusty",N,
KMZ,SF,12/17/21,3:00 PM,4:00 PM,Special,,,,,,,,,,,,,,,Sensors pulled for winter,N,N,
KMZ,SF,3/16/22,10:00 AM,12:00 PM,Special,,,,,,,,,,0,Dry,Dry,,,Redeployed sensor in dry conditions,N,N,
KMZ,SF,3/29/22,5:00 PM,6:00 PM,Routine,,,,,,,,,,,,,,,maintenance performed in conjunction with seasonal synoptic sampling,Y - replace cable screws,Y,
KMZ,SF,4/18/22,3:00 PM,3:45 PM,Routine,14.6,738.4,87.3,8.86,757,607,11.52,,,,Y,Y,"sunny, cool",,Site was flowing and connected,,,
KMZ,CLB,6/2/22,9:45 AM,10:40 AM,,15.3,731.8,,9.02,646,527,,,,,Y,Y,"cool, clear",,,,,
KMZ,"SF, CB",6/22/22,15:30,4:10 PM,Special,19.6,734.3,,7.83,572,512,7.86,,,,Y,Y,"warm, humid, cloudy- post rain",,came to repair piezo after storm. Slight drizzle. Solinst data on seybold comp,,,
KMZ,"KZ, SF, CB",6/24/22,11:30 AM,,,20.6,725.9,93.2,8.36,527,483.1,8.03,,,,Y,Y,"warm, sunny",,came to post storm sample and dilution gage. No maintenance aside from clearing debris,,,
KMZ,"SF, LS",8/8/22,10:30,11:00,Routine,,,,,,,,,,1.5,N,N,"cool, breezy, cloudy",site was dry,"forgot YSI for measurements. Connected upstream but disconnected and dry ~5m downstream. Stage= 1.50 ft. N1D dry, N4D iso pool. ",,,
KMZ,"SF, CB",8/31/22,11:15,,,,,,,,,,,,0,Dry,Dry,"hot, sunny",site was dry,,,,
KMZ,"CTW, RW",9/20/22,11:55,12:45,Routine,,,,,,,,,,0,Dry,Dry,"sunny, 80's",site was dry,pulled YSI DO probe,,,
KMZ,"RW, CB, SF",10/13/22,10:45,12:20,Routine,,,,,,,,,,0,Dry,Dry,"cool, windy",site was dry,Weirs N20 and N4 had water (shallow pools). All others dry. Water in macro reach of SFM01 so macro sample taken. ,,,
KMZ,"SF, RW",10/28/22,13:22,15:00,Routine,,,,,,,,,,0,Dry,Dry,"cool, pleasant, small breeze",site was dry,"N4 had water, reconfigured chains to be more secure, redeployed X2","STICs were buried, low STIC was moved, replace rusty hardware",Y,
KMZ,"SF, RW",11/8/22,,,Special,,,,,,,,,,,Dry,Dry,,site was dry,Pulled X2 and pressure transducers (including cables in conduits). X2 and pressure transducers will be sent to Fondriest,,,
KMZ,"SF, CB",11/11/22,,,Special,,,,,,,,,,,Dry,Dry,,site was dry,Pulled Scan and cables for the Exo. Exo deployed with batteries. ,,,
KMZ,"RW, CB, JW",11/29/22,10:00,10:12,,,,,,,,,,,0,Dry,Dry,"cold, cloudy",site was dry,"Minidot at supersensor: 792281. No samples taken at any weirs- dry except rain puddles. Dry at supersensor and in macro reach. Leaving pressure transducer at supersensor site. Pulled EXO and minidot. Minidot 187827 at N02B pulled. Minidot at N20B weir pulled 359123. STIC 21064675 at N1B moved upstream. Minidot 646664 at N1B pulled. Minidot at N4D weir: 208953 (pulled). Minidot at 04M05: 784195 (pulled). 39.066189, -96.5985281. ",,,
KMZ,"SF, CB, JS",3/14/23,10:00,15:00,Special (deployment),,,,,,,,,,,N,N,cold,deployment - no sampling,,,,
KMZ,CB,3/23/23,15:00,18:00,Special (trouble shooting,,,,,,,,,,1.7,N,N,"cool, sunny",troubleshooting telemetry issues - no samples,Still not telemetring ):,,,
KMZ,"SF, CB",3/28/23,09:30,15:30,Special (trouble shooting,,,,,,,,,,1.7,N,N,"cold, raining",troubleshooting telemetry issues - no samples,"Still not telemetring, pulled SCAN and X2 and sent to Fondriest",,,
KMZ,"SF, RW",4/13/23,11:20,11:50,Routine,15.2,723.3,80.9,8.1,671,547,,,,1.49,N,N,warm breezy,,,,,
KMZ,"SF, JK ",6/21/23,11:15,02:13,,18.1,729.5,44,,664,576,7.21,,,1.72,Y,Y,sunny warm,CAIO/ANIO,SCAn not turning on and EXO wiper disappeared?? ,,,
KMZ,"SF, CB",7/10/23,13:00,15:00,Routine,26.5,727.7,118.4,9.5,379.6,390.6,8.13,,,0.42,N,N,"hot, sunny",,milky pool,,,
KMZ,"CLB, AS",8/31/23,11:30,11:40,Routine,,,,,,,,,,,Dry,Dry,warm clear,site was dry,Dry up and downstream,,,
KMZ,"CLB, TL",7/12/24,15:30,16:13,Routine,24,728.3,82.5,6.65,518,518,7.69,,,1.8,Y,Y,"sunny, hot",site was dry,"Dry up and downstream, end time = staff gauge time",,,
KMZ,CLB,2/16/24,11:50,,,7.4,736.3,,9.87,551,365.4,7.62,,,1.8,Y,Y,"cold, snow",,"100.25g salt, US =1.74 m; 547 spc , DS=31.8 m , dilution gauging - Y ; cross-sectional area - N ; time (local) 12:55:55",,,
KMZ,CLB,4/11/24,10:08,,,10.7,730.1,64.4,6.89,434.1,599,7.59,,,1.96,Y,Y,"clear, cool, windy",,"1.96 @10:37 ; 15:37 UTC , tons of fill. algae",,,
KMZ,"CB, MB",8/18/24,18:30,,,22.4,730.1,62.8,5.22,309.4,325.4,7.96,,,1.3,N,N,"70s, cool, partly cloudy",,"dry, super turbid, post rain + prob. bison",,,
YMR,SF,8/11/21,10:30 AM,,routine,,,,,,,,,,0.9,Y,Y,"hot, sunny",,"sensor blown out, piezos knocked down - did a re-install; YSI and flow meter not available",,,
YMR,SF,8/28/21,10:00 AM,2:00 PM,Routine,,,,,,,,,,0.88,Y,Y,,,"Sensor remained in place, able to anchor with fenceposts",Still not telemetering,Y,N
YMR,SF,9/16/21,10:50 AM,,routine,23.4,723,96.7,8.21,471.3,445,9.71,,,0.98,Y,Y,"sunny, hot",,,,,
YMR,SF,10/15/21,1:15 PM,4:00 PM,Routine,,,,,,,,,,,Y,Y,"cool, sunny",,No YSI or flow meter but performed slug injection and measured flow rate at culver (4L/s),Need to figure out better way to measure culver flow - need a big funnel,N,
YMR,SF,11/23/21,12:00 PM,3:30 PM,Routine,,,,,,,,,,1,Y,Y,"cool, sunny, windy",,"No YSI, slug injection performed, injected 15m above sensor at 2:55:45 (700g)",,N,
YMR,"SF, AB",6/3/22,10:00 AM,2:45 PM,,23.3,,98.9,,4747.4,477.3,7.73,,,,Y,Y,"sunny and some clouds, warm",,cows everywhere. road repair upstream created suspended sld during sampling. Lots of biofouling. ,,,
YMR,"CLB, SF, AB, SR, others",6/15/22,10:55 AM,11:32 AM,,22.8,721.2,99.3,,450.9,,8.06,,,,Y,Y,"sunny, windy",,Q from steady state gas exchange. Piezo may be clogged. Exo wiper was repositioned in KOR (wasn't wiping fDOM). Sitting on stream channel @ 11:30 waiting on wiper reposition. Back in water @ ,,,
YMR,"SF, JW",8/3/22,11:13 AM,,Routine,24.6,719.8,74.2,6.16,520,515,2.63 (BROKEN),,,0.6,N,N,"breezy, hot, sunny",,"lots of biofilm and turbidity, not flowing",,,
YMR,"SF, CB",8/31/22,10:48 AM,4:30 AM,routine,,,,,,,,,,0,Dry,Dry,"warm, partly cloudy",dry,pulled YSI DO probe,,,
YMR,"CTW, RW",9/23/22,12:05 PM,3:20 PM,Routine,,,,,,,,,,0,Dry,Dry,"cloudy, some wind, cool, a little rain",dry,Installed Conner's minidot. The computer was weird with the download-? needs troubleshooting. Noted red flashing light in addition to blue when sensor plugged back in- normal? ,,,
YMR,"RW, SF, AB",10/14/22,12:22,13:20,Routine,,,,,,,,,,0,Dry,Dry,"nice, windy",dry,Sensor said: Failed to connect to logger address,,,
YMR,"CLB, CTW",11/10/22,12:00,12:20,Routine,,,,,,,,,,0,Dry,Dry,"cloudy, storm rolling in? ",dry,,,,
YMR,"CB, SF",3/15/23,11:00,18:00,Special (deployment),,,,,,,,,,0.66,,,cold,no samples - deployment,,,,
YMR,"SF, CB",4/5/23,11:42,14:16,Routine,12.7,,,7.35,534,406.1,,,,0.33,N,N,"sunny, breezy, cool",anion rep 1 leaked out,"performed troubleshooting on telemetry issues, still not telemetering, contacted Fonrdirest",Still not telemetering,Y,
YMR,"SF, CB",5/1/23,11:00,N/A,Routine,14.2,724.8,62,6.35,549,435.2,7.39,,,0.3,N,N,"cool, breezy, sunny",,,,,
YMR,"CW, JW",5/17/23,2:00 PM,2:40 PM,Routine,18.5,724,42.1,3.93,579,507,7.36,,,0.29,N,N,"sunny, clear",,Water samples collected with bucket and filtered in the lab,,,
