Site,wetQf,n_obs,min,max,mean
KNZ,Dry,13,0,0,0
KNZ,Flowing,14,0.514404715,0.705699439,0.580089076
KNZ,Pooled,10,0,0.523331055,0.308108514
PRF,Dry,0,,,
PRF,Flowing,22,0.59821429,0.763012143,0.691125766
PRF,Pooled,3,0.241881824,0.515229467,0.410518087
SHN,Dry,1,0,0,0
SHN,Flowing,16,0.271071213,0.426755856,0.363933554
SHN,Pooled,4,0.132668166,0.335850329,0.223675625
TAL,Flowing,42,0.332003494,0.53404028,0.423343205
TAL,Pooled,2,0.239118989,0.345419254,0.292269121
WHR,Dry,1,0.0294436,0.0294436,0.0294436
WHR,Flowing,33,-0.01425825,0.162748,0.049168298
WHR,Pooled,3,0.007055501,0.063560452,0.041842651
YMR,Dry,7,0,0.08775549,0.012536499
YMR,Flowing,12,0.123943429,0.342108113,0.27476308
YMR,Pooled,8,0,0.179392067,0.084936733
